,Unnamed: 0.1,Unnamed: 0,HOUR,ROUND,SPORT,NAME,BIRTH DATE,NAT.,PLACE,MARK
217,217,411,14:15:00,Final,Men's Shot Put,Mostafa Amr HASSAN,16 DEC 1995,EGY,10.0,20.17
218,218,412,14:18:00,Final,Men's Shot Put,Zane WEIR,07 SEP 1995,ITA,11.0,19.99
219,219,0,12:00:00,Qualification - Group 1,Men's High Jump,Ryoichi AKAMATSU,02 MAY 1995,JPN,1.0,2.28
220,220,1,12:03:00,Qualification - Group 1,Men's High Jump,JuVaughn HARRISON,30 APR 1999,USA,1.0,2.28
221,221,2,12:06:00,Qualification - Group 1,Men's High Jump,Sanghyeok WOO,23 APR 1996,KOR,3.0,2.28
222,222,3,12:09:00,Qualification - Group 1,Men's High Jump,Oleh DOROSHCHUK,04 JUL 2001,UKR,4.0,2.28
223,223,4,12:12:00,Qualification - Group 1,Men's High Jump,Marco FASSINOTTI,29 APR 1989,ITA,5.0,2.28
224,224,5,12:15:00,Qualification - Group 1,Men's High Jump,Gianmarco TAMBERI,01 JUN 1992,ITA,6.0,2.28
225,225,6,12:18:00,Qualification - Group 1,Men's High Jump,Shelby MCEWEN,06 APR 1996,USA,7.0,2.28
226,226,7,12:21:00,Qualification - Group 1,Men's High Jump,Thomas CARMOY,16 FEB 2000,BEL,8.0,2.25
227,227,8,12:24:00,Qualification - Group 1,Men's High Jump,Donald THOMAS,01 JUL 1984,BAH,9.0,2.25
228,228,9,12:27:00,Qualification - Group 1,Men's High Jump,Douwe AMELS,16 SEP 1991,NED,10.0,2.22
229,229,10,12:30:00,Qualification - Group 1,Men's High Jump,Romaine BECKFORD,09 JUL 2002,JAM,11.0,2.22
230,230,11,12:33:00,Qualification - Group 1,Men's High Jump,Alperen ACET,02 APR 1998,TUR,12.0,2.22
231,231,12,12:36:00,Qualification - Group 1,Men's High Jump,Erick PORTILLO,05 OCT 2000,MEX,13.0,2.18
232,232,13,12:39:00,Qualification - Group 1,Men's High Jump,Tihomir IVANOV,11 JUL 1994,BUL,13.0,2.18
233,233,14,12:42:00,Qualification - Group 1,Men's High Jump,Dmytro NIKITIN,31 JUL 1999,UKR,13.0,2.18
234,234,15,12:45:00,Qualification - Group 1,Men's High Jump,Joel BADEN,01 FEB 1996,AUS,16.0,2.14
235,235,16,12:48:00,Qualification - Group 1,Men's High Jump,Hichem BOUHANOUN,01 JAN 1997,ALG,16.0,2.14
236,236,17,12:51:00,Qualification - Group 1,Men's High Jump,Gergely TÖRÖK,13 MAR 2002,HUN,16.0,2.14
237,237,18,12:54:00,Qualification - Group 2,Men's High Jump,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1.0,2.28
238,238,19,12:57:00,Qualification - Group 2,Men's High Jump,Andrii PROTSENKO,20 MAY 1988,UKR,2.0,2.28
239,239,20,13:00:00,Qualification - Group 2,Men's High Jump,Tobias POTYE,16 MAR 1995,GER,3.0,2.28
240,240,21,13:03:00,Qualification - Group 2,Men's High Jump,Brandon STARC,24 NOV 1993,AUS,4.0,2.28
241,241,22,13:06:00,Qualification - Group 2,Men's High Jump,Norbert KOBIELSKI,28 JAN 1997,POL,5.0,2.28
242,242,23,13:09:00,Qualification - Group 2,Men's High Jump,Luis Enrique ZAYAS,07 JUN 1997,CUB,5.0,2.28
243,243,24,13:12:00,Qualification - Group 2,Men's High Jump,Edgar RIVERA,13 FEB 1991,MEX,7.0,2.25
244,244,25,13:15:00,Qualification - Group 2,Men's High Jump,Fernando FERREIRA,13 DEC 1994,BRA,8.0,2.25
245,245,26,13:18:00,Qualification - Group 2,Men's High Jump,Naoto HASEGAWA,15 NOV 1996,JPN,9.0,2.25
246,246,27,13:21:00,Qualification - Group 2,Men's High Jump,Hamish KERR,17 AUG 1996,NZL,10.0,2.22
247,247,28,13:24:00,Qualification - Group 2,Men's High Jump,Sarvesh Anil KUSHARE,17 JUN 1995,IND,11.0,2.22
248,248,29,13:27:00,Qualification - Group 2,Men's High Jump,Slavko STEVIĆ,07 SEP 2000,SRB,12.0,2.22
249,249,30,13:30:00,Qualification - Group 2,Men's High Jump,Luis CASTRO RIVERA,29 JAN 1991,PUR,13.0,2.22
250,250,31,13:33:00,Qualification - Group 2,Men's High Jump,Stefano SOTTILE,26 JAN 1998,ITA,14.0,2.22
251,251,32,13:36:00,Qualification - Group 2,Men's High Jump,Django LOVETT,06 JUL 1992,CAN,15.0,2.22
252,252,33,13:39:00,Qualification - Group 2,Men's High Jump,Tomohiro SHINNO,17 AUG 1996,JPN,16.0,2.18
253,253,34,13:42:00,Qualification - Group 2,Men's High Jump,Vernon TURNER,21 AUG 1998,USA,17.0,2.14
